habitaciones;baÒos;parqueaderos;area_construida_m2;area_privada_m2;estrato;estado;antig¸edad_aÒos;administracion;precio_m2;Ascensor;Circuito cerrado de TV;Parqueadero Visitantes;Porteria/ Recepcion;Zonas Verdes;Salon Comunal;Balcon;Barra estilo americano;Calentador;Chimenea;Citofono;Cocina Integral;Terraza;Vigilancia;Parques cercanos;Estudio;Patio;Deposito / Bodega;nombre;ubicacion;precio
3;2;0;95;9353;4;Excelente;mas de 30  ;†85.000 COP;†4.052.631,58  ;0;0;1;0;1;0;0;0;1;0;1;1;0;0;1;0;0;0;Apartamento;El Campin;385000000
3;1;0;49;49;3;Bueno;16 a 30  ;†120.000 COP;†3.804.897,79  ;0;0;0;1;1;1;0;0;1;0;0;0;0;1;1;0;0;0;Apartamento;Ciudadela Colsubsidio;188000000
3;4;2;170;270;6;Excelente;16 a 30  ;†1.158.000 COP;†7.588.235,29  ;1;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa bibiana;1290000000
3;2;1;86;80;3;Excelente;1 a 8  ;No definida;†3.720.930,23  ;0;1;0;0;0;0;0;0;1;0;1;1;0;0;1;1;0;0;Apartamento;Santa Matilde;320000000
12;5;0;375;320;3;Bueno;16 a 30  ;No definida;†1.493.333,33  ;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;0;1;0;Casa;Los Cerezos;560000000
6;4;3;218;0;4;Bueno;mas de 30  ;No definida;†3.027.522,94  ;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;Casa;Normandia;660000000
3;2;0;60;60;3;Bueno;16 a 30  ;No definida;†2.833.333,33  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Villa de los Alpes;170000000
3;4;2;175;175;4;No definida;16 a 30  ;No definida;†4.285.714,29  ;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;Casa;Cedro Golf;750000000
3;2;1;76;70;4;Bueno;9 a 15  ;†241.000 COP;†4.736.842,11  ;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;Casa;Versalles;360000000
3;2;1;79;0;4;Excelente;9 a 15  ;†303.000 COP;†4.585.987,26  ;1;1;1;1;0;0;0;0;0;0;1;1;0;0;0;1;0;1;Apartamento;Hayuelos;360000000
3;2;1;65;0;3;No definida;No definida;†289.000 COP;†5.384.615,38  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Apartamento;Eduardo frey;350000000
3;3;3;250;240;6;Remodelado;mas de 30  ;†1.700.000 COP;†7.000.000  ;1;0;1;0;0;0;0;0;0;0;1;1;0;1;0;1;0;1;Apartamento;Los Rosales;1750000000
6;3;0;152;228;2;No definida;9 a 15  ;No definida;†2.302.631,58  ;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1;0;Casa;Salazar usme;350000000
1;2;1;59;59;6;No definida;1 a 8  ;†512.000 COP;†8.813.559,32  ;1;1;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;Apartamento;Santa Barbara Central;520000000
4;3;1;109;0;3;Bueno;16 a 30  ;†160.000 COP;†3.348.623,85  ;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;0;Casa;El Cortijo;365000000
3;3;1;127;0;4;Excelente;9 a 15  ;†299.000 COP;†3.779.527,56  ;0;1;1;0;0;1;0;0;1;0;1;1;0;0;0;1;0;1;Casa;Suba la CampiÒa;480000000
3;3;2;113;0;5;Excelente;9 a 15  ;†787.000 COP;†5.743.362,83  ;1;1;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;0;Apartamento;Bella suiza;649000000
1;4;0;80;0;2;No definida;16 a 30  ;No definida;†4.875.000  ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;Casa;Bosa Atalayas;390000000
4;6;4;557;530;6;Excelente;16 a 30  ;†3.300.000 COP;†12.567.776,22  ;1;1;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;Apartamento;Santa Barbara Alta;7000000000
3;3;1;88;81;4;Bueno;1 a 8  ;†406.000 COP;†5.852.272,73  ;1;1;1;0;0;1;1;0;0;0;1;0;0;0;0;0;0;1;Apartamento;Barrancas;515000000
1;2;2;95;0;6;Excelente;1 a 8  ;†820.000 COP;†9.000.000  ;1;0;0;1;0;0;1;1;1;0;1;1;1;1;0;0;0;0;Apartamento;El Refugio;855000000
